|ocrSubjNumT|,|ocrTitle|
|1|,|REMARK ON THE THEORY OF LIFTING SUR- FACES. (Sulla teorla delle supertici portantl). Aldo Muggia. January 1956. lip. diagrs. (NACA TM 1386. Trans, from Attl delta Accademla delle Sclenze dl Torino, v. 87, 1952-1953) |
|1|,|A FLAT WING WITH SHARP EDGES IN A SUPER- SONIC STREAM. A. E. Donov. March 1956. 48p. diagrs. (NACA TM 1394. Trans, from Akademlla NAUKSSSR, Izvestlla, 1939, p. 603-626) |
|1.1|,|PRELIMINARY INVESTIGATION OF EFFECTIVE- NESS OF BASE BLEED IN REDUCING DRAG OF BLUNT-BASE BODIES IN SUPERSONIC STREAM. Edgar M. Cortright. Jr., and Albert H. Schroeder. March 9, 1951. 23p. diagrs., photos. (NACA RM E51A26) |
|1.1|,|A UNIFIED TWO-DIMENSIONAL APPROACH TO THE CALCULATION OF THREE-DIMENSIONAL HYPERSONIC FLOWS, WITH APPLICATION TO BODIES OF REVOLUTION. A. J. Eggers, Jr. and Raymond C. Savin. 1955. ii, 27p. diagrs., tab. (NACA Rept. 1249. Supersedes TN 2811) |
|1.1|,|MAXIMUM THEOREMS AND REFLECTIONS OF SIMPLE WAVES. P. Germain, Brown University. June 1955. 22p. (NACA TN 3299) |
|1.1|,|A FLAT WING WITH SHARP EDGES IN A SUPER- SONIC STREAM. A. E. Donov. March 1956. 48p. diagrs. (NACA TM 1394. Trans, from Akademiia NAUKSSSR, Izvestiia, 1939, p. 603-626) |
|1.1|,|FORMATION OF A VORTEX AT THE EDGE OF A PLATE. (Ausbildung eines Wirbels an der Kante einer Platte). Leo Anton. March 1956. 36p. diagrs. (NACA TM 1398. Trans, from Ingenieur- Archiv, v. 10, 1939, p. 411-427) |
|1.1|,|HEAT CAPACITY LAG OF GASEOUS MLXTURES. Thomas D. Rossing, Robert C. Amme, and Sam Legvold, Iowa State College. March 1956. 35p. diagrs., tabs. (NACA TN 3558) |
|1.1.1|,|RESULTS OF TWO FREE-FALL EXPERIMENTS ON FLUTTER OF THIN UNSWEPT WINGS IN THE TRANSONIC SPEED RANGE. William T. Lauten, Jr., and Herbert C. Nelson. May 8, 1951. 26p. diagrs., photo., tabs. (NACA RM L51C08) |
|1.1.1|,|THE STRUCTURE OF TURBULENCE IN FULLY DEVELOPED PIPE FLOW. John Laufer, National Bureau of Standards. 1954. ii, 18p. diagrs. (NACA Rept. 1174. Formerly TN 2954) |
|1.1.1|,|THE NORMAL COMPONENT OF THE INDUCED VELOCITY IN THE VICINITY OF A LIFTING ROTOR AND SOME EXAMPLES OF ITS APPLICATION. Walter Castles, Jr. and Jacob Henri De Leeuw, Georgia Institute of Technology. 1954. ii, 15p. diagrs., 3 tabs. (NACA Rept. 1184. Formerly TN 2912) |
|1.1.1|,|IMPINGEMENT OF CLOUD DROPLETS ON A CYL- INDER AND PROCEDURE FOR MEASURING LIQUID- WATER CONTENT AND DROPLET SIZES IN SUPER- COOLED CLOUDS BY ROTATING MULTICYLINDER METHOD. R. J. Brun, W. Lewis, P. J. Perkins and J. S. Serafini. Appendix E: ALTERNATE METHOD OF REDUCING ROTATING MULTICYL- INDER DATA. Paul T. Hacker. 1955. iv, 43p. diagrs., photos., tabs. (NACA Rept. 1215. Super- sedes TN 2903; TN 2904; RM E53D23) |
|1.1.1|,|THEORETICAL ANALYSIS OF INCOMPRESSIBLE FLOW THROUGH A RADIAL-INLET CENTRIFUGAL IMPELLER AT VARIOUS WEIGHT FLOWS. I - SOLUTION BY A MATRIX METHOD AND COMPAR- ISON WITH AN APPROXIMATE METHOD. Vasily D. Prian, James J. Kramer and Chung-Hua Wu. June 1955. 39p. diagrs., tab. (NACA TN 3448) |
|1.1.1|,|THEORETICAL ANALYSIS OF INCOMPRESSIBLE FLOW THROUGH A RADIAL-INLET CENTRIFUGAL IMPELLER AT VARIOUS WEIGHT FLOWS. U - SOLUTION IN LEADING-EDGE REGION BY RELAX- ATION METHODS. James J. Kramer. June 1955. 19p. diagrs. (NACA TN 3449) |
|1.1.1|,|REMARK ON THE THEORY OF LIFTING SUR- FACES. (Sulla teoria delle superfici portanti). Aldo Muggia. January 1956. lip. diagrs. (NACA TM 1386. Trans, from Atti della Accademia delle Scienze dl Torino, v. 87, 1952-1953) |
|1.1.1|,|FORMATION OF A VORTEX AT THE EDGE OF A PLATE. (Ausbildung eines Wirbels an der Kante einer Platte). Leo Anton. March 1956. 36p. diagrs. (NACA TM 1398. Trans, from Ingenieur- Archiv, v. 10, 1939, p. 411-427) |
|1.1.1|,|DETERMINATION OF VORTEX PATHS BY SERIES EXPANSION TECHNIQUE WITH APPLICATION TO CRUCIFORM WINGS. Alberta Y. Alksne. April 1956. 40p. diagrs., photos. (NACA TN 3670) |
|1.1.1|,|NORMAL COMPONENT OF INDUCED VELOCITY IN THE VICINITY OF A LIFTING ROTOR WITH A NON- UNIFORM DISK LOADING. Harry H. Heyson and S. Katzoff. April 1956. i, 45p. diagrs. (NACA TN 3690) |
|1.1.1|,|BOUNDARY LAYER. L. G. Loitsianskii. May 1956. 29p. (NACA TM 1400. Trans, from Mechanics in the U.S.S.R. over Thirty Years, 1917-1947, p. 300-320) |
|1.1.2|,|RESULTS OF TWO FREE-FALL EXPERIMENTS ON FLUTTER OF THIN UNSWEPT WINGS IN THE TRANSONIC SPEED RANGE. William T. Lauten, Jr., and Herbert C. Nelson. May 8, 1951. 26p. diagrs., photo., tabs. (NACA RM L51C08) |
|1.1.2|,|PRELIMINARY AIR- FLOW AND THRUST CALIBRA- TIONS OF SEVERAL CONICAL COOLING-AIR EJECTORS WITH A PRIMARY TO SECONDARY TEMPERATURE RATIO OF 1.0. I - DIAMETER RATIOS OF 1.21 AND 1.10. W. K. Greathouse and D. P. HoUister. July 1952. 24p. diagrs. (NACA RM E52E21) |
|1.1.2|,|PRELIMINARY AIR- FLOW AND THRUST CALIBRA- TIONS OF SEVERAL CONICAL COOLING-AIR EJECTORS WITH A PRIMARY TO SECONDARY TEMPERATURE RATIO OF 1.0. H - DIAMETER RATIOS OF 1.06 AND 1.40. W. K. Greathouse and D. P. HoUister. August 1952. 35p. diagrs. (NACA RM K52F26) |
|1.1.2|,|DEVELOPMENT OF TURBULENCE-MEASURING EQUIPMENT. Leslie S. G. Kovasznay, John Hopkins University. 1954. ii, 30p. diagrs., photos., tab. (NACA Rept. 1209. Supersedes TN 2839) |
|1.1.2|,|A SUMMARY OF INFORMATION ON SUPPORT INTERFERENCE AT TRANSONIC AND SUPERSONIC SPEEDS. Eugene S. Love. January 1954. 26p. diagrs. (NACA RM L53K12) |
|1.1.2|,|A CORRELATION BY MEANS OF TRANSONIC SIMILARITY RULES OF EXPERIMENTALLY DE- TERMINED CHARACTERISTICS OF A SERIES OF SYMMETRICAL AND CAMBERED WINGS OF RECTANGULAR PLAN FORM. John B. McDevitt. 1955. ii, 23p. diagrs., tabs. (NACA Rept. 1253. Supersedes RM A51L17b; RM A53G31) |
|1.1.2|,|ESTIMATION OF INLET LIP FORCES AT SUBSONIC AND SUPERSONIC SPEEDS. W. E. Moeckel. June 1955. 12p. diagrs. (NACA TN 3457) |
|1.1.2|,|RECOVERY AND TIME-RESPONSE CHARACTER- ISTICS OF SDC THERMOCOUPLE PROBES IN SUB- SONIC AND SUPERSONIC FLOW. Truman M. Stickney. July 1955. 25p. diagrs., photos., 2 tabs. (NACA TN 3455) |
|1.1.2|,|PRELIMINARY PERFORMANCE DATA OF SEVERAL TAIL-PIPE-CASCADE-TYPE MODEL THRUST REVERSERS. James G. Henzel, Jr. and Jack G. McArdle. August 1955. 48p. diagrs., photos., tab. (NACA RM E55F09) |
|1.1.2|,|MEASUREMENTS OF TURBULENT SKIN FRICTION ON A FLAT PLATE AT TRANSONIC SPEEDS. Raimo J(aakko) Hakkinen, California Institute of Technology. September 1955. 4 Ip. diagrs., photo- tabs. (NACA TN 3486) |
|1.1.2|,|AVERAGING OF PERIODIC PRESSURE PULSA- TIONS BY A TOTAL-PRESSURE PROBE. R. C. Johnson. October 1955. 30p. diagrs., photo., tabs. (NACA TN 3568) |
|1.1.2|,|SUMMARY OF RESULTS OBTAINED BY TRANSONIC -BUMP METHOD ON EFFECTS OF PLAN FORM AND THICKNESS ON LIFT AND DRAG CHARACTERISTICS OF WINGS AT TRANSONIC SPEEDS. Edward C. Polhamus. November 1955. 33p. diagrs., tab. (NACA TN 3469. Supersedes RM L51H30) |
|1.1.2|,|COMPRESSIBLE LAMINAR BOUNDARY LAYER AND HEAT TRANSFER FOR UNSTEADY MOTIONS OF A FLAT PLATE. Simon Ostrach. November 1955. 26p. diagrs., tab. (NACA TN 3569) |
|1.1.2|,|TURBULENT HEAT-TRANSFER MEASUREMENTS AT A MACH NUMBER OF 0.87. Maurice J. iirevoort and Bernard Kashis. December 1955. 13p. diagrs. {NACA TN 3599) |
|1.1.2|,|EFFECT OF TRANSVERSE BODY FORCE ON CHAN- NEL FLOW WITH SMALL HEAT ADDITION. Simon Ostrach and Franklin K. Moore. February 1956. 31p. diagrs. (NACA TN 3594) |
|1.1.2|,|ON THE GAS DYNAMICS OF A ROTATING IMPEL- LER. (Zur Gasdynamik des drehenden Schaufelsterns). A. Busemann. March 1956. 16p. diagrs. (NACA TM 1385. Trans, from Zeitschrift fiir angewandte Mathematik und Mechanik, v. 18, no. 1, February 1938, p. 31-38) |
|1.1.2|,|A FLAT WING WITH SHARP EDGES IN A SUPER- SONIC STREAM. A. E. Donov. March 1956. 48p. diagrs. (NACA TM 1394. Trans, from Akademiia NAUKSSSR, Izvestiia, 1939, p. 603-626) |
|1.1.2|,|BOUNDARY-LAYER GROWTH AND SHOCK ATTEN- UATION IN A SHOCK TUBE WITH ROUGHNESS. Paul W. Huber and Donald R. McFarland. March 1956. 49p. diagrs., photos., tab. (NACA TN 3627) |
|1.1.2|,|DISCHARGE COEFFICIENTS FOR COMBUSTOR- LINER AIR-ENTRY HOLES. I - CIRCULAR HOLES WITH PARALLEL FLOW. Ralph T. Dittrich and Charles C. Graves. April 1956. 39p. diagrs. (NACA TN 3663) |
|1.1.2|,|BOUNDARY LAYER. L. G. Loitsianskii. May 1956. 29p. (NACA TM 1400. Trans, from Mechanics in the U.S.S.R. over Thirty Years, 1917-1947, p. 300-320) |
|1.1.2.1|,|ANALYSIS AND EXPERIMENTAL OBSERVATION OF PRESSURE LOSSES IN RAM-JET COMBUSTION CHAMBERS. William H. Sterbentz. November 4, 1949. 22p. diagrs. (NACA RM E9H19) |
|1.1.2.1|,|PRESSURE MEASUREMENTS ON A BODY OF REVO- LUTION IN THE LANGLEY 16-FOOT TRANSONIC TUNNEL AND A COMPARISON WITH FREE-FALL DATA. Joseph M. Hallissy, Jr. March 1952. 19p. diagrs. (NACA RM L51L07a) |
|1.1.2.1|,|TRANSONIC DRAG CHARACTERISTICS AND PRES- SURE DISTRIBUTION ON THE BODY OF A WING- BODY COMBINATION CONSISTING OF A BODY OF REVOLUTION OF FINENESS RATIO 12 AND A WING HAVING SWEEPBACK OF 45°, ASPECT RATIO 4, TAPER RATIO 0.6, AND NACA 65A006 AIRFOIL SECTIONS. Max C. Kurbjun and Jim Rogers Thompson. April 1952. 28p. diagrs., photo., tabs. (NACA RM L52B12) |
|1.1.2.1|,|FREE-FALL MEASUREMENTS OF THE EFFECTS OF WING-BODY INTERFERENCE ON THE TRAN- SONIC DRAG CHARACTERISTICS OF SWEPT -WING - SLENDER-BODY CONFIGURATIONS. Max C. Kurbjun and Jim Rogers Thompson. May 1953. 34p. diagrs., photos., tabs. (NACA RM L53C31) |
|1.1.2.1|,|FLOW DIFFUSION IN A CONSTANT-DIAMETER DUCT DOWNSTREAM OF AN ABRUPTLY TERMI- NATED CENTER BODY. Charles C. Wood and James T. Higginbotham. July 1953. 27p. diagrs. (NACA RM L53D23) |
|1.1.2.1|,|ON THE DEVELOPMENT OF TURBULENT WAKES FROM VORTEX STREETS. Anatol Roshko, Cali- fornia Institute of Technology. 1954. ii, 25p. diagrs., photos., 3 tabs. (NACA Rept. 1191. Formerly TN 2913) |
|1.1.2.1|,|THEORETICAL PERFORMANCE CHARACTERIS- TICS OF SHARP -LIP INLETS AT SUBSONIC SPEEDS. Evan A. Fradenburgh and DeMarquis D. Wyatt. 1954. ii, 8p. diagrs. (NACA Rept. 1193. Formerly TN 3004) |
|1.1.2.1|,|PERFORMANCE AND BOUNDARY-LAYER DATA FROM 120 AND 23° CONICAL DIFFUSERS OF AREA RATIO 2.0 AT MACH NUMBERS UP TO CHOKING AND REYNOLDS NUMBERS UP TO 7.5 x 10 6 . B. H. Little, Jr., and Stafford W. Wilbur. 1954. ii, 23p. diagrs., tabs. (NACA Rept. 1201, Super- sedes RM L9H10; RM L9K10; RM L50C02a) |
|1.1.2.1|,|EXPERIMENTAL INVESTIGATION OF THE OSCIL- LATING FORCES AND MOMENTS ON A TWO- DIMENSIONAL WING EQUIPPED WITH AN OSCIL- LATING CIRCULAR-ARC SPOILER. Sherman A. Clevenson and John E. Tomassoni. January 1954. 20p. diagrs., photos. (NACA RM L53K18) |
|1.1.2.1|,|PRELIMINARY INVESTIGATION OF THE FLOW IN AN ANNULAR-DIFFUSER— TAILPIPE COMBINA- TION WITH AN ABRUPT AREA EXPANSION AND SUCTION, INJECTION, AND VORTEX-GENERATOR FLOW CONTROLS. John R. Henry and Stafford W. Wilbur. February 1954. 27p. diagrs. (NACA RM L53K30) |
|1.1.2.1|,|ON SLENDER-BODY THEORY AT TRANSONIC SPEEDS. Keith C. Harder and E. B. Klunker March 1954. 12p. (NACA RM L54A29a) |
|1.1.2.1|,|IMPINGEMENT OF CLOUD DROPLETS ON A CYL- INDER AND PROCEDURE FOR MEASURING LIQUID- WATER CONTENT AND DROPLET SIZES IN SUPER- COOLED CLOUDS BY ROTATING MULTICYLINDER METHOD. R. J. Brun, W. Lewis, P. J. Perkins and J. S. Serafini. Appendix E: ALTERNATE METHOD OF REDUCING ROTATING MULTICYL- INDER DATA. Paul T. Hacker. 1955. iv, 43p. diagrs., photos., tabs. (NACA Rept 1215. Super- sedes TN 2903; TN 2904; RM E53D23) |
|1.1.2.1|,|PRACTICAL CONSIDERATIONS IN SPECIFIC APPLICATIONS OF GAS-FLOW INTERFEROMETRY. Walton L. Howes and Donald R. Buchele. July 1955. ii, 95p. diagrs., photos. (NACA TN 3507) |
|1.1.2.1|,|ACOUSTIC RADIATION FROM TWO-DIMENSIONAL RECTANGULAR CUTOUTS IN AERODYNAMIC SURFACES. K. Krishnamurty, California Institute of Technology. August 1955. 33p. diagrs., photos. (NACA TN 3487) |
|1.1.2.1|,|SOME MEASUREMENTS GF FLOW INA RECTAN- GULAR CUTOUT. Anatol Roshko, California Institute of Technology. August 1955. 21p. diagrs. (NACA TN 3488) |
|1.1.2.1|,|CONTRIBUTIONS ON THE MECHANICS OF BOUNDARY -LAYER TRANSITION. G. B. Schubauer and P. S. Klebanoff , National Bureau of Standards. September 1955. 31p. diagrs. (NACA TN 3489) |
|1.1.2.1|,|VISUALIZATION STUDY OF SECONDARY FLOWS IN TURBINE ROTOR TIP REGIONS. Hubert W. Allen and Milton G. Kofskey. September 1955. 33p. diagrs., photos., tab. (NACA TN 3519) |
|1.1.2.1|,|FLIGHT INVESTIGATION OF THE SURFACE- PRESSURE DISTRIBUTION AND THE FLOW FIELD AROUND A CONICAL AND TWO SPHERICAL NON- ROTATING FULL-SCALE PROPELLER SPINNERS. Jerome B. Hammack, Milton L. Windier, and Elwood F. Scheithauer. September 1955. 36p. diagrs, , photos. (NACA TN 3535) |
|1.1.2.1|,|INTENSITY, SCALE, AND SPECTRA OF TURBU- LENCE IN MDCING REGION OF FREE SUBSONIC JET. James C. Laurence. September 1955. 58p. diagrs., photo., tab. (NACA TN 3561) |
