|ocrSubjNumT|,|ocrTitle|
|1|,|DESIGN PROCEDURE AND LIMITED TEST RE- SULTS FOR A HIGH SOLIDITY, 12-INCH TRAN- SONIC IMPELLER WITH AXIAL DISCHARGE. LinwoodC. Wright and Karl Kovach. April 1953. 37p. photos., diagrs., tab. (NACA RM E53B09) |
|1|,|COMPOSITION AND THERMODYNAMIC PROPER- TIES OF AIR IN CHEMICAL EQUILIBRIUM. W. E. Moeckel and Kenneth C. Weston. April 1958. 39p. diagrs. (NACA TN 4265) |
|1.1|,|EXPERIMENTAL INVESTIGATION OF DRAG OF AFTERBODIES WITH EXITING JET AT HIGH SUBSONIC MACH NUMBERS. Reino J. Salmi. November 1354. 28p. diagrs., photos. (NACA RM E54I13) |
|1.1|,|A PRELIMINARY INVESTIGATION OF STATIC- PRESSURE CHANGES ASSOCIATED WITH COMBUS- TION OF ALUMINUM BOROHYDRIDE IN A SUPER- SONIC WIND TUNNEL. Robert G. Dorsch, John S. Serafini, and Edward A. Tletcher. August 1955, 12p. diagrs., ph'.tos. (NACA RM E55F07) ' |
|1.1|,|ON THE SPECTRUM OF NATURAL OSCILLATIONS OF TWO-DIMENSIONAL LAMINAR FLOWS. (Uber das Spektrum bei Eigenschwingungen ebener Laminarstromungen. ) D. Grohne. December 1957. 34p. diagrs. (NACA TM 1417. Translation from Zeitschrift fiir angewandte Mathematik und Mechanik, v. 34, no. 8-9, August -September 1954, p. 344-357) |
|1.1|,|COMPILATION OF INFORMATION ON THE TRAN- SONIC ATTACHMENT OF FLOWS AT THE LEAD- ING EDGES OF AIRFOILS. Walter F. Lindsey and Emma Jean Landrum. February 1958. 63p. diagrs., photos., tabs. (NACA TN 4204) |
|1.1|,|APPROXIMATIONS FOR THE THERMODYNAMIC AND TRANSPORT PROPERTIES OF HIGH- TEMPERATURE AIR. C Frederick Hansen. March 1958. 67p. dUgre., tabs. (NACA TN 4150) |
|1.1|,|AN APPROXIMATE ANALYTICAL METHOD FOR STUDYING ENTRY INTO PLANETARY ATMOS- PHERES. Dean R. Chapman. May 1958. (i), lOlp. diagrs., tab. (NACA TN 4276) |
|1.1|,|ON FULLY DEVELOPED CHANNEL FLOWS: SOME SOLUTIONS AND LIMITATIONS, AND EFFECTS OF COMPRESSIBILITY, VARIABLE PROPERTIES, .&lt; AND BODY FORCES. Stephen H. Maslen. September 1958. 46p. diagrs., tabs. (NACA TN 4319) |
|1.1.1|,|DETERMINATION OF VORTEX PATJIS BY SERIES EXPANSION TECHNIQUE WITH APPLICATION TO CRUCIFORM WINGS- Alberta Y. Alksne. 1957. iii, 13p. diagrs., photos. (NACA Rept. 1311. Supersedes TN 3670) |
