|ocrSubjNumT|,|ocrTitle|
|1.1|,|EXPERIMENTAL AERODYNAMIC DERIVATIVES OF A SINUSOIDALLY OSCILLATING AIRFOIL IN TWO- DIMENSIONAL FLOW. Robert L. Halfmaii. Massachusetts Institute of TechnoloKy. 1952. ii, 44p.diagrs., photo. , 19 tabs. (NACA Rcpt. 1108. Formerly TN 2465) |
|1.1|,|THE SIMILARITY LAW FOR HYPERSONIC FLOW AND REQUIREMENTS FOR DYNAMIC SIMILARITY OF RELATED BODIES IN FREE FLIGHT. Frank M. Hamaker, Stanford E. Neiee and Thomas J. Wong. 1953. ii, Up. diagrs. (NACA Rept. 1147. For- merly TN 2443; TN 2631) |
|1.1|,|A METHOD FOR STABILIZING SHOCK WAVES IN CHANNEL FLOW BY MEANS OF A SURGE CHAMBER. Stanford E. Neice, Cornell University. June 1953. 46p. photos. , diagrs. (NACA TN 2694) |
|1.1|,|THE CONDENSATION LINE OF AIR AND THE HEATS OF VAPORIZATION OF OXYGEN AND NITROGEN. George T. Furukawa and Robert E. McCoskey, National Bureau of Standards. June 1953. 30p. diagrs. , 8 tabs. (NACA TN 2969) |
|1.1|,|AIR-WATER ANALOGY AND THE STUDY OF HY- DRAULIC MODELS. (La Similitudine Aria- Acqua e lo Studio del Modelli Idraulici). Glullo Supino. July 1953. 22p. diagrs. (NACA TM 1359. Trans, from Energia Elettrica, v. 28, no. 11, Nov. 1951). |
|1.1|,|THEORETICAL SUPERSONIC FORCE AND MOMENT COEFFICIENTS ON A SIDESLIPPING VERTICAL- AND HORIZONTAL-TAIL COMBINATION WITH SUB- SONIC LEADING EDGES AND SUPERSONIC TRAIL- ING EDGES. Frank S. Malvestuto, Jr. March 1954. 69p. diagrs., 2 tabs. (NACA TN 3071) |
|1.1|,|TURBULENT BOUNDARY-LAYER AND SKIN- FRICTION MEASUREMENTS IN AXIAL FLOW ALONG CYLINDERS AT MACH NUMBERS BE- TWEEN 0.5 AND 3.6. Dean R. Chapman and Robert H. Kester. March 1954. 53p. diagrs., photos., 5 tabs. (NACA TN 3097) |
|1.1|,|ON THE SOUND FIELD OF A POINT -SHAPED- SOUND SOURCE IN UNIFORM TRANSLATORY MOTION. (Uber das Schallteld einer glelchtormig- translatorisch bewegten punkformigen Schallquelle). H. Honl. April 1954. 44p. diagrs. (NACA TM 1362. Trans, from Annalen der Physlk, issues, V. 43, 1943, p. 437-464). |
|1.1|,|A THEORETICAL INVESTIGATION OF THE AERO- DYNAMICS OF WING-TAIL COMBINATIONS PER- FORMING TIME-DEPENDENT MOTIONS AT SUPERSONIC SPEEDS. John C. Martin, Margaret S. Diederich and Percy J. Bobbitt. May 1954. 226p. diagrs., tab. (NACA TN 3072) |
|1.1|,|THE ROLE OF TRIPLE COLLISIONS IN EXCITA- TION OF MOLECULAR VIBRATIONS IN NITROUS OXIDE. Richard A. Walker, Thomas D. Rossing and Sam Legvold, Iowa State College. May 1954. 24p. diagrs., photo., 3 tabs. (NACA TN 3210) |
|1.1.1|,|A METHOD FOR CALCULATING FLOW FIELDS OF COWLINGS WITH KNOWN SURFACE -PRESSURE DISTRIBUTIONS. Robert W. Boswinkle, Jr. November 22, 1948. 23p. diagrs. (NACA RM LSIIT) (Declassified from Restricted, 12/14/53) |
