|ocrSubjNumT|,|ocrTitle|
|1.1|,|ESTIMATION OF THE FORCES AND MOMENTS ACTING ON INCLINED BODIES OF REVOLUTION OF HIGH FINENESS RATIO. H. Julian Allen. November 14, 1949. 27p. diagrs. (NACA RM A9I26) (Declassified from Restricted, 6/11/53) |
|1.1|,|A STUDY OF EFFECTS OF VISCOSITY ON FLOW OVER SLENDER INCLINED BODIES OF REVOLU- TION. H. Julian Allen and Edward W. Perkins. 1951. ii, 13p. diagrs., photos. (NACA Rept. 1048. Formerly TN 2044) |
|1.1|,|THE SIMILARITY LAW FOR HYPERSONIC FLOW ABOUT SLENDER THREE-DIMENSIONAL SHAPES. Frank M. Hamaker, Stanford E. Neice and A. J. Eggers, Jr. August 1951. 22p. diagrs. (NACA TN 2443) |
|1.1|,|EXPRESSIONS FOR MEASURING THE ACCURACY OF APPROXIMATE SOLUTIONS TO COMPRESSIBLE FLOW THROUGH CASCADES OF BLADES WITH EX- AMPLES OF USE. John T. Sinnette, Jr., George R. Costello and Robert L. Cummings. October 1951. 33p. diagrs. (NACA TN 2501) |
|1.1|,|EXPERIMENTAL AERODYNAMIC DERIVATIVES OF A SINUSOIDALLY OSCILLATING AIRFOIL IN TWO- DIMENSIONAL FLOW. Robert L. Halfman, Massa- chusetts Institute of Technology. November 1951. 83p. diagrs., photo., 19 tabs. (NACA TN 2465) |
|1.1|,|ON THE SPECTRUM OF ISOTROPIC TURBULENCE. H. W. Liepmann, J. Laufer and Kate Liepmann, California Institute of Technology. November 1951. 61p. diagrs. (NACA TN 2473) |
|1.1|,|EVALUATION OF HIGH-ANGLE-OF-ATTACK AERODYNAMIC-DERIVATIVE DATA AND STALL- FLUTTER PREDICTION TECHNIQUES. Robert L. Halfman, H. C. Johnson and S. M. Haley, Massachusetts Institute of Technology. November 1951. 154p. diagrs., photos., 11 tabs. (NACA TN 2533) |
|1.1|,|HEAT CAPACITY LAG IN GASES. Richard Walker, Iowa State College. November 1951. 40p. diagrs., tab. (NACA TN 2537) |
|1.1|,|A STUDY OF SECOND-ORDER SUPERSONIC FLOW THEORY. Milton D. Van Dyke. 1952. ii, 23p. diagrs. (NACA Rept. 1081. Formerly TN 2200) |
|1.1|,|A SOLUTION OF THE NAVTER-STOKES EQUATION FOR SOURCE AND SINK FLOWS OF A VISCOUS HEAT-CONDUCTING COMPRESSIBLE FLUID. Robert V. Hess. February 1952. 60p. diagrs., tab. (NACA TN 2630) |
|1.1|,|SOME EXPERIMENTS ON VISUALIZATION OF FLOW FIELDS BEHIND LOW -ASPECT-RATIO WINGS BY MEANS OF A TUFT GRID. John D. Bird and Donald R. Riley. May 1952. 32p. photos., diagrs., tab. (NACA TN 2674) |
|1.1|,|A VECTOR STUDY OF LINEARIZED SUPERSONIC FLOW APPLICATIONS TO NONPLANAR PROBLEMS. John C. Martin. June 1952. 81p. diagrs., tab. (NACA TN 2641) |
