|ocrSubjNumT|,|ocrTitle|
|1.1|,|A VKCTOR STUDY OF LINEARIZED SUPERSONIC FLOW APPLICATIONS TO NONPLANAR PROBLEMS. John C. Martin. 1953. ii, 34p. diagrs., tab. (NACA Rept. 1143. Formerly TN 2641) |
|1.1.1|,|DIRECT MEASUREMENTS OF SKIN FRICTION. Satish Dhawan, California Institute of Technology. 1953. ii, 20p. diagrs., photos. (NACA Rept. 1121. Formerly TN 2567) |
|1.1.1|,|DIFFUSION OF HEAT FROM A LINE SOURCE IN ISOTROPIC TURBULENCE. Mahinder S. Uberoi and Stanley Corrsin, Johns Hopkins University. 1953, ii, 29p. diagrs., photos., tab. (NACA Rept. 1142. Formerly TN 2710) |
|1.1.1|,|AVERAGE SKIN-FRICTION DRAG COEFFICIENTS FROM TANK TESTS OF A PARABOLIC BODY OF REVOLUTION (NACA RM-10). Elmo J. Mottard and J. Dan Loposer. 1954. ii, 7p. diagrs., photos. (NACA Rept. 1161. Formerly TN 2854) |
|1.1.1|,|A NOTE ON SECONDARY FLOW IN ROTATING RADIAL CHANNELS. James J. Kramer and John D. Stanitz. 1954. ii, 12p. diagrs. (NACA Rept. 1179. Formerly TN 3013) |
|1.1.1|,|PRELIMINARY MEASUREMENTS OF TURBULENCE AND TEMPERATURE FLUCTUATIONS BEHIND A HEATED GRID. A. L. Klstler, V. O'Brien and S. Corrsin, Johns Hopkins University. June 1954. 24p. diagrs., photo. (NACA RM 54D19) |
|1.1.1|,|A NEW HODOGRAPH FOR FREE -STREAMLINE THEORY. Anatol Roshko, California Institute of Technology. July 1954. 39p. diagrs., 3 tabs. (NACA TN 3168) |
|1.1.1|,|ON THE DRAG AND SHEDDING FREQUENCY OF TWO-DIMENSIONAL BLUFF BODIES. Anatol Roshko, California Institute of Technology. July 1954. 29p. diagrs., tab. (NACA TN 3169) |
|1.1.1|,|HEAT, MASS, AND MOMENTUM TRANSFER FOR FLOW OVER A FLAT PLATE WITH BLOWING OR SUCTION. H. S. Mickley, R. C. Ross, A. L. Squyers and W. E. Stewart, Massachusetts Institute of Technology. July 1954. ii, 149p. diagrs., photos., 9 tabs. (NACA TN 3208) |
|1.1.1|,|APPLICATION OF TWO-DIMENSIONAL VORTEX THEORY TO THE PREDICTION OF FLOW FIELDS BEHIND WINGS OF WING-BODY COMBINATIONS AT SUBSONIC AND SUPERSONIC SPEEDS. Arthur Wm. Rogers. September 1954. (ii), 91p. diagrs., photo., 3 tabs. (NACA TN 3227) |
